Country Name,Country Code,Region,Income group,2022_pop,2022_gdp_pc
Ireland,IRL,Europe & Central Asia,High income,5127170,103983.2913
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,88550570,4669.57138
Iraq,IRQ,Middle East & North Africa,Upper middle income,44496122,5937.195466
Iceland,ISL,Europe & Central Asia,High income,382003,73466.77867
Israel,ISR,Middle East & North Africa,High income,9557500,54930.93881
Italy,ITA,Europe & Central Asia,High income,58940425,34776.42323
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2827377,6047.216457
Jordan,JOR,Middle East & North Africa,Lower middle income,11285869,4311.000046
Japan,JPN,East Asia & Pacific,High income,125124989,34017.27181
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,19621972,11492.03194
Kenya,KEN,Sub-Saharan Africa,Lower middle income,54027487,2099.301938
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,6974900,1655.072698
Cambodia,KHM,East Asia & Pacific,Lower middle income,16767842,1759.608023
Kiribati,KIR,East Asia & Pacific,Lower middle income,131232,1701.970665
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,47657,20262.26714
"Korea, Rep.",KOR,East Asia & Pacific,High income,51628117,32422.57449
Kuwait,KWT,Middle East & North Africa,High income,4268873,41079.5227
Lao PDR,LAO,East Asia & Pacific,Lower middle income,7529475,2054.430781
Lebanon,LBN,Middle East & North Africa,Lower middle income,5489739,
Liberia,LBR,Sub-Saharan Africa,Low income,5302681,754.5328429
Libya,LBY,Middle East & North Africa,Upper middle income,6812341,6716.095985
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,179857,13030.92848
Liechtenstein,LIE,Europe & Central Asia,High income,39327,
Sri Lanka,LKA,South Asia,Lower middle income,22181000,3354.383408
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2305825,969.9357602
Lithuania,LTU,Europe & Central Asia,High income,2831639,25064.80891
Luxembourg,LUX,Europe & Central Asia,High income,653103,125006.0218
Latvia,LVA,Europe & Central Asia,High income,1879383,21779.50426
"Macao SAR, China",MAC,East Asia & Pacific,High income,695168,34584.85909
St. Martin (French part),MAF,Latin America & Caribbean,High income,31791,
Morocco,MAR,Middle East & North Africa,Lower middle income,37457971,3441.991455
Monaco,MCO,Europe & Central Asia,High income,36469,240862.1824
Moldova,MDA,Europe & Central Asia,Upper middle income,2538894,5714.430488
Madagascar,MDG,Sub-Saharan Africa,Low income,29611714,516.592616
Maldives,MDV,South Asia,Upper middle income,523787,11780.81691
Mexico,MEX,Latin America & Caribbean,Upper middle income,127504125,11496.52287
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,41569,6225.179222
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2057679,6591.471314
Mali,MLI,Sub-Saharan Africa,Low income,22593590,833.2972551
Malta,MLT,Middle East & North Africa,High income,531113,34127.51056
Myanmar,MMR,East Asia & Pacific,Lower middle income,54179306,1149.211218
Montenegro,MNE,Europe & Central Asia,Upper middle income,617213,10093.4387
Mongolia,MNG,East Asia & Pacific,Lower middle income,3398366,5045.5047
Northern Mariana Islands,MNP,East Asia & Pacific,High income,49551,
Mozambique,MOZ,Sub-Saharan Africa,Low income,32969518,558.2986064
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,4736139,2065.155516
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,1262523,10256.23031
Malawi,MWI,Sub-Saharan Africa,Low income,20405317,645.1586921
Malaysia,MYS,East Asia & Pacific,Upper middle income,33938221,11993.18761
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2567012,5031.11503
New Caledonia,NCL,East Asia & Pacific,High income,269220,35745.18505
Niger,NER,Sub-Saharan Africa,Low income,26207977,585.4049292
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,218541212,2162.633734
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,6948392,2255.425995
Netherlands,NLD,Europe & Central Asia,High income,17700982,57025.01246
Norway,NOR,Europe & Central Asia,High income,5457127,108729.1869
Nepal,NPL,South Asia,Lower middle income,30547580,1336.546047
Nauru,NRU,East Asia & Pacific,High income,12668,11970.93828
New Zealand,NZL,East Asia & Pacific,High income,5124100,48418.59166
Oman,OMN,Middle East & North Africa,High income,4576298,25056.79486
Pakistan,PAK,South Asia,Lower middle income,235824862,1588.879829
Panama,PAN,Latin America & Caribbean,High income,4408581,17357.62863
Peru,PER,Latin America & Caribbean,Upper middle income,34049588,7125.829931
Philippines,PHL,East Asia & Pacific,Lower middle income,115559009,3498.509806
Palau,PLW,East Asia & Pacific,Upper middle income,18055,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,10142619,3115.922923
Poland,POL,Europe & Central Asia,High income,36821749,18688.00449
Puerto Rico,PRI,Latin America & Caribbean,High income,3221789,35208.63719
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,26069416,
Portugal,PRT,Europe & Central Asia,High income,10409704,24515.26585
Paraguay,PRY,Latin America & Caribbean,Upper middle income,6780744,6153.055657
West Bank and Gaza,PSE,Middle East & North Africa,Upper middle income,5043612,3789.327966
French Polynesia,PYF,East Asia & Pacific,High income,306279,18984.8511
Qatar,QAT,Middle East & North Africa,High income,2695122,87661.45015
Romania,ROU,Europe & Central Asia,High income,19047009,15786.80174
Russian Federation,RUS,Europe & Central Asia,Upper middle income,144236933,15270.70605
Rwanda,RWA,Sub-Saharan Africa,Low income,13776698,966.2320714
Saudi Arabia,SAU,Middle East & North Africa,High income,36408820,30447.88371
Sudan,SDN,Sub-Saharan Africa,Low income,46874204,1102.146484
Senegal,SEN,Sub-Saharan Africa,Lower middle income,17316449,1598.726433
Singapore,SGP,East Asia & Pacific,High income,5637022,82807.62906
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,724273,2205.251805
Sierra Leone,SLE,Sub-Saharan Africa,Low income,8605718,475.7957278
El Salvador,SLV,Latin America & Caribbean,Upper middle income,6336392,5127.321668
San Marino,SMR,Europe & Central Asia,High income,33660,
Somalia,SOM,Sub-Saharan Africa,Low income,17597511,592.103122
Serbia,SRB,Europe & Central Asia,Upper middle income,6664449,9537.682867
South Sudan,SSD,Sub-Saharan Africa,Low income,10913164,
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,227380,2386.696176
Suriname,SUR,Latin America & Caribbean,Upper middle income,618040,5858.824661
Slovak Republic,SVK,Europe & Central Asia,High income,5431752,21256.80843
Slovenia,SVN,Europe & Central Asia,High income,2111986,28439.3341
Sweden,SWE,Europe & Central Asia,High income,10486941,56424.2847
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1201670,3986.886637
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,42848,35873.05649
